DATE,CAUDAL,PP,T,PET
25-01-00,12570,1.3,27.42816925,4.892507553
26-01-00,12590,39.1,27.78508377,5.118867397
27-01-00,12600,52.8,25.59682465,5.139267921
28-01-00,12810,0.2,26.10517311,5.126157284
29-01-00,13060,9.0,26.67259407,4.727447033
30-01-00,13190,33.5,26.78184509,4.73714447
31-01-00,13610,0.0,24.04205894,4.853332043
01-02-00,14850,0.1,26.53562927,4.833439827
02-02-00,15590,51.9,26.04163361,4.949180126
03-02-00,16290,1.0,26.01355362,5.041512489
04-02-00,16880,0.0,27.65086174,4.922841072
05-02-00,17440,19.4,26.5385704,4.859295368
06-02-00,17900,29.2,27.51390457,4.942890167
07-02-00,18180,1.3,26.56391525,4.92899704
08-02-00,18300,0.0,26.92512131,4.984970093
09-02-00,18220,0.0,27.17239761,4.818606377
10-02-00,18020,2.4,28.18430328,4.879537106
11-02-00,17730,0.0,27.95175552,4.848835468
12-02-00,17260,0.1,27.57499123,4.873598576
13-02-00,16700,0.0,27.48271942,4.937232971
14-02-00,16110,5.5,26.83540916,4.785439968
15-02-00,15330,9.4,24.91160583,4.903281689
16-02-00,14700,8.0,25.44145012,4.637238026
17-02-00,14060,0.1,24.34188843,4.723128319
18-02-00,13880,25.6,25.29008865,4.853704453
19-02-00,13880,0.1,25.62990379,4.822927475
20-02-00,14030,19.1,26.19464493,4.799845695
21-02-00,14180,2.9,25.16888809,4.946302891
22-02-00,14440,46.8,26.26146507,5.043395042
23-02-00,14910,22.2,25.62942696,5.015274525
24-02-00,15300,0.0,26.43359184,5.04814291
25-02-00,15610,8.3,26.41291809,4.996972084
26-02-00,16000,3.4,25.82721138,4.88906908
27-02-00,16440,26.5,26.32274628,4.928601265
28-02-00,16940,9.4,27.15597534,4.907223225
29-02-00,17550,68.3,25.95377922,4.820199966
01-03-00,18270,0.0,25.09206963,4.694921494
02-03-00,18850,0.1,26.61217499,4.799433231
03-03-00,19270,0.0,27.07414055,4.835128307
04-03-00,19710,50.0,26.60063934,4.579154015
05-03-00,20190,4.2,26.08285522,4.858065605
06-03-00,20570,0.0,25.77791214,4.911414623
07-03-00,20840,5.8,26.0755558,4.584738255
08-03-00,21080,0.0,26.10592461,4.900388241
09-03-00,21300,0.0,26.44237328,4.814753056
10-03-00,21460,0.0,26.3367424,4.921064854
11-03-00,21580,0.0,26.40087509,4.689377785
12-03-00,21680,11.6,25.86585999,4.670366287
13-03-00,21750,13.3,27.0401001,4.700713634
14-03-00,21800,37.5,26.95677567,4.790868759
15-03-00,21900,5.8,26.84313965,4.870741844
16-03-00,21960,17.4,27.41611862,4.905295372
17-03-00,22000,24.5,27.58753967,4.856477261
18-03-00,22020,0.0,25.55500793,4.822365761
19-03-00,22000,0.0,26.35864067,4.952736378
20-03-00,21930,0.2,25.78167152,4.711557865
21-03-00,21860,32.0,26.6163311,4.609315395
22-03-00,21790,0.0,25.61890411,4.645662785
23-03-00,21710,10.6,25.99052048,4.579319
24-03-00,21590,61.0,26.15903282,4.685118675
25-03-00,21520,32.9,25.95861435,4.709379196
26-03-00,21460,17.6,26.38232803,4.602714539
27-03-00,21480,21.8,27.09519577,4.663218021
28-03-00,21520,19.2,26.25576782,4.753994942
29-03-00,21470,0.0,25.75157356,4.573608875
30-03-00,21560,44.3,26.31787872,4.976391792
31-03-00,21780,8.6,25.43094254,4.531079769
01-04-00,21940,7.8,26.05560303,4.569163322
02-04-00,22120,0.0,24.83800507,4.615897179
03-04-00,22300,9.2,24.7122345,4.58133316
04-04-00,22460,8.5,25.9091301,4.388085365
05-04-00,22660,3.1,25.19457817,4.468630314
06-04-00,22860,0.0,25.68554306,4.455018997
07-04-00,23010,7.5,26.78450775,4.418215752
08-04-00,23150,20.9,27.1677475,4.640398502
09-04-00,23310,0.0,25.39032364,4.602565289
10-04-00,23460,45.6,27.05724716,4.959174633
11-04-00,23670,0.0,24.90154648,5.080253124
12-04-00,23820,0.0,25.93498421,4.443441868
13-04-00,23960,7.5,27.31631851,4.39124155
14-04-00,24130,7.4,27.06445313,4.284330368
15-04-00,24290,14.9,26.4534111,4.314792633
16-04-00,24400,4.5,26.58032227,4.196986675
17-04-00,24530,0.2,26.7404747,4.390929222
18-04-00,24610,17.0,26.81375694,4.503017902
19-04-00,24720,19.4,27.00142288,4.603978634
20-04-00,24900,6.5,24.33419418,4.56943655
21-04-00,24990,0.1,25.52280807,4.353960514
22-04-00,25070,9.9,26.01148605,4.997424603
23-04-00,25140,4.5,25.75098419,4.468049526
24-04-00,25240,1.0,25.54909515,4.40504837
25-04-00,25310,0.1,26.00535202,4.399083138
26-04-00,25390,69.6,26.94424057,4.420801163
27-04-00,25500,1.9,25.29962921,4.479412079
28-04-00,25610,0.0,26.76301575,4.509918213
29-04-00,25750,73.8,26.53125,4.498561859
30-04-00,25880,0.0,26.27690887,4.482520103
01-05-00,25970,11.0,26.40888023,4.448842525
02-05-00,26060,23.4,26.06122589,3.6977911
03-05-00,26120,0.5,26.23584175,4.601469994
04-05-00,26230,11.9,26.68965912,3.972666025
05-05-00,26350,0.2,26.17564392,4.165754318
06-05-00,26400,24.5,26.14606476,4.175039768
07-05-00,26450,0.2,25.04738045,4.147189617
08-05-00,26500,5.7,26.11442184,4.218173504
09-05-00,26660,15.8,24.26882172,4.236980915
10-05-00,26790,6.4,25.51037407,4.247999668
11-05-00,26820,6.3,25.63790894,4.2588377
12-05-00,26820,0.0,26.24725342,4.120295525
13-05-00,26820,6.8,26.64844894,4.123330593
14-05-00,26820,0.0,25.99743652,4.655119419
15-05-00,26800,7.8,26.27025032,4.029438972
16-05-00,26750,8.4,27.31416893,3.980813503
17-05-00,26670,0.0,27.06889725,3.937177658
18-05-00,26600,0.0,25.12211609,4.122253418
19-05-00,26550,0.1,22.87920952,4.163410187
20-05-00,26480,0.1,24.00621986,4.239284515
21-05-00,26370,0.1,25.25114632,4.127510071
22-05-00,26240,0.0,25.20968628,4.115224838
23-05-00,26150,0.1,26.29865074,4.252645016
24-05-00,26050,21.9,25.8425808,4.216431141
25-05-00,25970,0.2,26.21639252,4.832141399
26-05-00,25870,0.0,26.80523682,4.106887341
27-05-00,25760,5.5,26.43749428,4.103588104
28-05-00,25660,0.0,26.57909584,4.112558365
29-05-00,25560,0.0,26.9603672,4.007256508
30-05-00,25470,8.2,26.99297142,3.917894125
31-05-00,25360,4.6,26.551548,3.744239807
01-06-00,25250,0.0,26.31325912,3.778337717
02-06-00,25100,0.0,25.45342636,3.87924242
03-06-00,24970,10.0,26.47356033,4.049636364
04-06-00,24840,0.1,26.87022018,3.99537611
05-06-00,24680,0.2,25.56232071,4.887372971
06-06-00,24530,0.1,26.5887413,4.063463211
07-06-00,24350,0.0,25.95830345,3.972280741
08-06-00,24190,1.3,25.85467529,4.023099899
09-06-00,23970,0.1,25.3345108,3.883078575
10-06-00,23800,0.0,25.80091095,3.803475618
11-06-00,23640,0.0,25.70506668,3.823315382
12-06-00,23530,0.0,26.35869789,3.980746031
13-06-00,23440,0.0,27.08646393,4.030544758
14-06-00,23370,27.9,27.08665848,4.031149864
15-06-00,23310,8.9,26.90359497,3.875247717
16-06-00,23300,7.0,26.25435638,4.866537571
17-06-00,23340,0.0,24.87880707,4.064229488
18-06-00,23340,0.0,25.9132576,4.003004551
19-06-00,23300,0.1,26.21327591,4.04709053
20-06-00,23260,40.3,26.26488495,4.099123955
21-06-00,23270,0.1,25.48745155,4.040676117
22-06-00,23320,0.0,25.14433479,4.1253829
23-06-00,23340,0.0,25.73365402,4.140808582
24-06-00,23370,0.0,25.61665535,4.160731316
25-06-00,23370,0.1,25.3789978,4.119776249
26-06-00,23370,6.9,26.17803574,4.116932869
27-06-00,23370,0.0,25.67669106,4.829235554
28-06-00,23390,0.0,26.80809021,4.099890709
29-06-00,23390,0.1,26.92816353,4.120632648
30-06-00,23370,4.3,27.0388031,3.94603157
01-07-00,23320,0.0,26.97780991,4.000215054
02-07-00,23250,0.2,26.11719894,4.086354256
03-07-00,23180,61.1,26.60199547,4.060007095
04-07-00,23100,0.0,24.13579559,4.010577679
05-07-00,22960,0.1,25.02731133,3.973951578
06-07-00,22770,0.1,25.26919746,3.527435541
07-07-00,22560,5.8,25.70382309,3.832996607
08-07-00,22430,0.2,25.37985229,4.824304581
09-07-00,22310,39.0,25.98713303,3.892681122
10-07-00,22210,10.0,25.73354721,3.956346035
