date,q,pp,t,pet
1999-11-06,2649,1.6809,22.925,4.37052044
1999-11-07,3074,0.193,24.0085,4.53746098
1999-11-08,3452,5.1396,23.8834,4.515208258
1999-11-09,3841,8.2705,23.3307,4.426122588
1999-11-10,4345,5.3713,21.9183,4.202869287
1999-11-11,4517,0,20.2427,3.938785066
1999-11-12,4419,0,21.4606,4.126208127
1999-11-13,4133,0,23.5403,4.447667649
1999-11-14,3753,0,24.0095,4.517877117
1999-11-15,3229,0,24.2444,4.551514492
1999-11-16,2562,0.1352,24.3096,4.558704613
1999-11-17,2398,6.6443,23.379,4.411100294
1999-11-18,1934,11.018,23.6832,4.455498428
1999-11-19,1571,0.8582,24.3336,4.553591823
1999-11-20,1111,5.4868,25.5394,4.737738442
1999-11-21,868.5,4.7847,23.6423,4.440611062
1999-11-22,777.3,0.8073,22.9462,4.329970118
1999-11-23,711.7,13.9812,22.9348,4.325522835
1999-11-24,607.6,5.5637,22.8978,4.317159632
1999-11-25,483.4,3.4758,22.3363,4.227735106
1999-11-26,253.3,22.9816,21.2838,4.062575223
1999-11-27,137,0.9026,21.0465,4.023590292
1999-11-28,97.76,1.0686,22.6096,4.262673214
1999-11-29,182.9,2.5184,23.2515,4.359412226
1999-11-30,465.3,4.3319,23.8238,4.445387541
1999-12-01,765.5,21.6155,23.2199,4.350045386
1999-12-02,993.9,27.5388,23.5428,4.397676266
1999-12-03,1454,1.0019,23.5663,4.39924286
1999-12-04,1964,21.9328,23.2068,4.341945547
1999-12-05,2312,3.1799,23.8091,4.432784551
1999-12-06,2664,7.1485,24.6822,4.565302681
1999-12-07,2869,30.8301,23.2182,4.338503175
1999-12-08,2621,27.4094,22.8445,4.279549875
1999-12-09,2552,28.8631,21.5071,4.072679372
1999-12-10,2806,0.383,23.0518,4.30873396
1999-12-11,2980,2.4461,23.4575,4.369870236
1999-12-12,3694,6.0381,23.6657,4.400777263
1999-12-13,4591,82.3889,23.0516,4.305582975
1999-12-14,5930,0.0033,22.7106,4.252461866
1999-12-15,6387,5.3058,22.8008,4.265646476
1999-12-16,6870,31.0111,23.1134,4.313075776
1999-12-17,7776,0.4893,21.9676,4.136903691
1999-12-18,7444,43.4619,22.9249,4.283487654
1999-12-19,7287,7.7247,23.3632,4.350582399
1999-12-20,6866,8.00E-04,22.4644,4.212715705
1999-12-21,6493,0.1943,22.7412,4.255305987
1999-12-22,6048,55.1195,22.5415,4.224938036
1999-12-23,5459,0.0893,23.5877,4.385840911
1999-12-24,5177,2.7075,23.9844,4.44726046
1999-12-25,4839,6.00E-04,24.4851,4.524796984
1999-12-26,4530,49.8101,23.9582,4.444776068
1999-12-27,4353,0,23.5713,4.38635372
1999-12-28,4020,0.3738,23.734,4.412436289
1999-12-29,3701,11.1433,23.4039,4.362970645
1999-12-30,3413,9.5815,22.6638,4.250609309
1999-12-31,3161,5.9766,23.4071,4.366306141
2000-01-01,3040,0.9695,24.7832,4.579606083
2000-01-02,2860,0.4358,24.7704,4.579469206
2000-01-03,2597,7.6135,24.3909,4.523027571
2000-01-04,2298,2.1997,24.2207,4.498883296
2000-01-05,1986,9.4499,24.0816,4.479625918
2000-01-06,1830,11.7389,23.476,4.388569952
2000-01-07,1685,2.514,22.8203,4.289802883
2000-01-08,1492,0.0532,23.7754,4.439549575
2000-01-09,1292,0.7861,24.4896,4.552380645
2000-01-10,1161,14.3372,23.1399,4.346644305
2000-01-11,1072,0.2124,22.801,4.29697795
2000-01-12,978.6,2.7554,23.4629,4.402119692
2000-01-13,871.1,3.9543,23.7371,4.447479965
2000-01-14,798.4,6.9907,23.8874,4.47379171
2000-01-15,894.3,0,24.2194,4.528373328
2000-01-16,1128,2.2035,23.5294,4.424600404
2000-01-17,1165,20.9561,22.1211,4.209257859
2000-01-18,1259,3.3499,22.2367,4.230340395
2000-01-19,1604,2.7244,22.5325,4.27951241
2000-01-20,2070,9.6028,21.6189,4.140675605
2000-01-21,2797,3.3177,22.7131,4.31422442
2000-01-22,3213,3.393,22.732,4.320547654
2000-01-23,3581,12.4009,23.0033,4.366260693
2000-01-24,3982,9.984,23.5024,4.4476127
2000-01-25,4615,0.1498,23.749,4.489675703
2000-01-26,5236,0.7829,23.8146,4.503524271
2000-01-27,5867,40.5286,22.3183,4.273085788
2000-01-28,6266,4.6222,22.5528,4.313218043
2000-01-29,6459,0.5466,23.4914,4.463712845
2000-01-30,6562,32.2014,22.827,4.36308859
2000-01-31,6710,10.3493,22.1869,4.266092442
2000-02-01,6787,0.6823,21.9532,4.232733457
2000-02-02,6578,0.8504,22.2653,4.285063961
2000-02-03,6785,3.4252,23.2321,4.440403325
2000-02-04,7109,10.9481,23.3026,4.454847923
2000-02-05,7037,21.3267,22.7963,4.378398653
2000-02-06,7539,11.2697,22.6929,4.365281977
2000-02-07,7876,1.6647,23.9384,4.564855897
2000-02-08,7500,5.0532,24.0325,4.582876694
2000-02-09,6604,3.5989,24.2936,4.627213189
2000-02-10,6300,4.4793,25.2009,4.773653321
2000-02-11,6487,0.1367,24.9967,4.744377846
2000-02-12,6416,0.3,25.5287,4.831465066
2000-02-13,6175,0,25.2708,4.793453285
2000-02-14,6567,15.1501,24.7472,4.713174039
2000-02-15,7003,0.7566,23.337,4.492128285
2000-02-16,6581,0,23.0639,4.451073063
2000-02-17,6457,16.4728,22.3306,4.336818288
2000-02-18,6534,11.1501,22.7601,4.406916471
2000-02-19,7696,14.0764,22.7115,4.401000069
2000-02-20,8156,8.9425,23.3482,4.503805715
2000-02-21,8495,15.4944,23.0765,4.462155339
2000-02-22,9096,25.0368,22.4112,4.357742303
2000-02-23,8688,0.0505,22.5483,4.380702868
2000-02-24,8484,4.5577,22.894,4.436684202
2000-02-25,8548,44.6427,21.9493,4.287229129
2000-02-26,8284,21.4267,22.524,4.379298432
2000-02-27,7932,0.5596,23.7245,4.570788425
2000-02-28,7648,6.0581,23.916,4.601547881
2000-02-29,7400,33.0824,21.582,4.230205894
2000-03-01,7353,23.206,22.5304,4.381019085
2000-03-02,8420,18.7869,23.4721,4.530552586
2000-03-03,8630,25.9867,22.9786,4.451502665
2000-03-04,7570,28.1294,22.4042,4.359396505
2000-03-05,6762,7.6129,21.8225,4.265956027
2000-03-06,7822,0,22.7344,4.409839421
2000-03-07,8260,0,22.92,4.43797681
2000-03-08,6736,43.43,22.8942,4.432284459
2000-03-09,6274,39.2791,22.7127,4.401644001
2000-03-10,6217,7.6636,23.2919,4.491574441
2000-03-11,6813,36.9488,23.766,4.564510892
2000-03-12,8166,43.4412,23.2609,4.481844181
2000-03-13,9350,17.4603,23.6279,4.53726161
2000-03-14,9405,21.3149,23.6027,4.53025218
2000-03-15,8609,12.2264,23.9412,4.580577754
2000-03-16,7144,16.0651,24.0502,4.594291208
2000-03-17,6744,21.3944,24.568,4.672337993
2000-03-18,6864,8.5573,24.3116,4.627772006
2000-03-19,6364,31.5796,23.3003,4.463965321
2000-03-20,6195,4.2551,23.2593,4.453133915
2000-03-21,5781,10.5021,22.8793,4.388722174
2000-03-22,5692,22.2205,23.5572,4.49056586
2000-03-23,5840,0.3528,23.2914,4.443718695
2000-03-24,5454,54.7872,22.6832,4.343028195
2000-03-25,5495,7.9201,22.2628,4.271778865
2000-03-26,5655,37.0355,23.2297,4.417579641
2000-03-27,5673,0.5736,24.1887,4.561532354
2000-03-28,6840,51.3711,21.6744,4.162812238
2000-03-29,9139,6.861,21.2824,4.095735023
2000-03-30,8672,0,23.0454,4.363971538
2000-03-31,6809,13.5979,22.3691,4.252196076
2000-04-01,6728,16.9376,22.2354,4.224724391
2000-04-02,6873,3.8328,20.8011,3.99571402
2000-04-03,7345,0,21.9441,4.165733244
2000-04-04,6659,0,22.8495,4.298304715
2000-04-05,5777,38.7716,21.6958,4.112970412
2000-04-06,5889,6.9546,22.209,4.18445903
2000-04-07,6986,13.758,23.0348,4.303481965
2000-04-08,8754,8.3601,23.5711,4.377512858
2000-04-09,8910,40.5774,22.0339,4.133993255
2000-04-10,8389,12.081,23.0697,4.283932126
2000-04-11,8363,30.555,22.6428,4.210312011
2000-04-12,8884,0.8618,22.9144,4.242992154
2000-04-13,8244,0.42,23.6034,4.33868468
2000-04-14,7400,36.2362,23.1912,4.267130241
2000-04-15,6828,15.7948,22.2979,4.12305857
2000-04-16,6852,26.2461,21.7625,4.033402204
2000-04-17,7706,0,22.9813,4.207795561
2000-04-18,7121,0.5869,24.3201,4.399284617
2000-04-19,6035,8.7223,22.8434,4.168285085
2000-04-20,6870,39.4093,21.2312,3.917970955
2000-04-21,8157,51.8423,21.379,3.930966836
2000-04-22,8029,2.3008,23.5028,4.237575098
2000-04-23,7055,3.0169,23.3153,4.199827628
2000-04-24,8043,40.8218,22.1064,4.011020796
2000-04-25,10680,10.4999,22.2118,4.017040893
2000-04-26,11880,2.0197,23.4938,4.196229213
2000-04-27,12730,18.219,22.5125,4.041973702
2000-04-28,13030,0,22.3582,4.009600616
2000-04-29,12950,10.772,22.653,4.042987732
2000-04-30,12520,0.3267,23.4905,4.155316099
2000-05-01,12080,42.4431,23.572,4.157062654
2000-05-02,11400,12.6462,22.6251,4.009504389
2000-05-03,10900,3.537,22.7582,4.019008149
2000-05-04,10420,0,22.7722,4.011246482
2000-05-05,10070,0,22.2249,3.922639996
2000-05-06,9702,0.0829,22.9737,4.020755591
2000-05-07,9257,12.6168,22.4504,3.936003249
2000-05-08,9390,0,22.8825,3.988336573
2000-05-09,9865,6.4522,21.6493,3.802808274
2000-05-10,11180,5.6937,21.4673,3.767844066
2000-05-11,12780,17.8192,21.4672,3.758919004
2000-05-12,14250,2.108,22.9652,3.962347178
2000-05-13,14010,19.372,23.0702,3.9679718
2000-05-14,12120,44.6856,23.0627,3.957771804
2000-05-15,10990,17.4762,23.1571,3.962033116
2000-05-16,10210,0,23.5771,4.012072449
2000-05-17,9495,8.0874,22.8995,3.908228186
2000-05-18,9350,0.9231,21.9806,3.771215136
2000-05-19,9675,51.9916,21.5167,3.698363584
2000-05-20,9259,0,22.4333,3.818068255
2000-05-21,8072,0,21.5859,3.692397528
2000-05-22,7096,0,21.4152,3.661164401
2000-05-23,7254,3.8776,21.7642,3.702077185
2000-05-24,7405,5.6197,22.3591,3.776916139
2000-05-25,8094,4.4386,23.1582,3.879752542
2000-05-26,7670,0.6292,23.0765,3.861230895
2000-05-27,6738,2.5024,22.8465,3.822591897
2000-05-28,6401,0,22.6552,3.78957271
2000-05-29,6875,0,23.248,3.864111251
2000-05-30,7170,55.759,23.544,3.89805808
2000-05-31,6558,4.0638,22.7927,3.789304914
2000-06-01,5779,56.9465,21.6881,3.633007367
2000-06-02,6156,0,22.234,3.701732175
2000-06-03,5572,5.3668,22.0028,3.664992303
2000-06-04,4901,5.5591,21.4887,3.590227757
2000-06-05,4662,5.8806,21.995,3.654001711
2000-06-06,5111,0,22.2827,3.688284001
2000-06-07,5543,57.748,22.1106,3.660629699
2000-06-08,6465,0.701,21.8694,3.623955686
2000-06-09,6797,23.7967,20.5167,3.437848356
2000-06-10,7479,7.8619,21.7516,3.600632339
2000-06-11,7115,2.6869,22.1285,3.647972322
2000-06-12,6795,0,22.1934,3.653560663
2000-06-13,6341,0,23.0198,3.761625724
2000-06-14,5885,0.5983,23.1102,3.771058189
2000-06-15,5093,20.3326,22.4388,3.678616077
2000-06-16,4617,45.6502,21.8116,3.592474566
2000-06-17,4922,35.9531,21.1628,3.503794371
2000-06-18,6448,5.8053,21.7788,3.584766857
2000-06-19,9105,17.2811,22.4816,3.677556826
2000-06-20,9097,1.9834,21.9219,3.601661954
2000-06-21,7144,10.8395,21.168,3.500096523
2000-06-22,6950,15.0004,21.2932,3.516394808
2000-06-23,9954,0,21.9006,3.597438029
2000-06-24,12610,0,22.592,3.689981361
2000-06-25,11130,34.049,22.1859,3.63602423
2000-06-26,8061,1.1474,21.905,3.599071407
2000-06-27,5488,0.0654,21.8648,3.594576521
2000-06-28,4590,0.6625,22.2606,3.648701076
2000-06-29,4166,8.132,22.6066,3.696463919
2000-06-30,3877,4.018,22.036,3.621749195
2000-07-01,5223,20.6567,22.2306,3.649782625
2000-07-02,6128,0.0402,21.9304,3.611749653
2000-07-03,5971,0.3874,22.3423,3.669490875
